School Level,Class ID,Description,Teacher,Room,Student Counts,Status,Meeting Times,Term Credit Hours
Upper School,HIS310-1,Comparative Cultures-1,"Oxholm, Theodor",A-24,"17 (M: 8, F: 8, NB: 1)",Active,D2D3D5D7D8-US-B,0.5
Upper School,HIS310-2,Comparative Cultures-2,"Oxholm, Theodor",A-24,"16 (M: 10, F: 5, NB: 1)",Active,D1D3D4D6D8-US-C,0.5
Upper School,HIS310-3,Comparative Cultures-3,"Thacker, Samuel",A-24,"18 (M: 6, F: 12)",Active,D1D3D4D6D7-US-F,0.5
Upper School,HIS310-4,Comparative Cultures-4,"Thacker, Samuel",A-24,"18 (M: 11, F: 7)",Active,D1D2D4D6D7-US-A,0.5
Upper School,HIS310-5,Comparative Cultures-5,"Thacker, Samuel",A-24,"14 (M: 5, F: 9)",Active,D1D2D4D5D7-US-D,0.5
Upper School,HIS310-6,Comparative Cultures-6,"Thacker, Samuel",A-24,"12 (M: 9, F: 3)",Active,D2D4D5D7D8-US-G,0.5
Upper School,HIS431-1,United States Government & Civics,"Oxholm, Theodor",A-24,"18 (M: 10, F: 8)",Active,D1D3D5D6D8-US-H,0.5
Upper School,HIS310-7,Comparative Cultures-7,"Oxholm, Theodor",A-24,"19 (M: 8, F: 11)",Active,D2D3D5D6D8-US-E,0.5
Upper School,ADV 9-13,US Advisory 9-13,"Thacker, Samuel",A-24,"9 (M: 5, F: 4)",Active,M-Advsy,0
Upper School,HR 9-13,US Homeroom 9-13,"Thacker, Samuel",A-24,"9 (M: 5, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,ADV 10-6,US Advisory 10-6,"Oxholm, Theodor",A-25 History Office,"9 (M: 4, F: 5)",Active,M-Advsy,0
Upper School,HR 10-6,US Homeroom 10-6,"Oxholm, Theodor",A-25 History Office,"9 (M: 4, F: 5)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,HR 9-2,US Homeroom 9-2,"Culp, Megan",A-3,"9 (M: 5, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,ADV 9-2,US Advisory 9-2,"Culp, Megan",A-3,"9 (M: 5, F: 4)",Active,M-Advsy,0
Upper School,ART830-3,Color & Design-3,"Culp, Megan",A-3,"7 (M: 1, F: 6)",Active,D2D3D5D8-US-B,0.25
Upper School,ART610-2,Senior Studio: Advanced-2,"Culp, Megan",A-3,"11 (M: 3, F: 8)",Active,D1D2D4D6D7-US-A,0.5
Upper School,ART830-1,Color & Design-1,"Culp, Megan",A-3,"5 (M: 1, F: 4)",Active,D1D5D6D8-US-H,0.25
Upper School,ART310-4,Foundation of Art-4,"Hoffman, Debra",A-3,"12 (M: 9, F: 3)",Active,D1D6D8-US-C,0.25
Upper School,ART310-5,Foundation of Art-5,"Charme-Zane, Sara",A-6,"14 (M: 9, F: 4, NB: 1)",Active,D3D6D7-US-F,0.25
Upper School,ART310-6,Foundation of Art-6,"Wood, Jared",A-6,"11 (M: 1, F: 9, NB: 1)",Active,D1D2D6-US-A,0.25
Upper School,ART310-7,Foundation of Art-7,"Charme-Zane, Sara",A-6,"13 (M: 5, F: 8)",Active,D4D7D8-US-G,0.25
Upper School,ART310-8,Foundation of Art-8,"Charme-Zane, Sara",A-6,"14 (M: 7, F: 7)",Active,D2D4D7-US-D,0.25
Upper School,ART310-1,Foundation of Art-1,"Hoffman, Debra",A-6,"14 (M: 7, F: 7)",Active,D2D3D8-US-E,0.25
Upper School,ART310-2,Foundation of Art-2,"Hoffman, Debra",A-6,"13 (M: 7, F: 6)",Active,D3D5D6-US-H,0.25
Upper School,ART731-1,"Art History: Nature, Spirit and Religion","Charme-Zane, Sara",A-6,"9 (M: 3, F: 6)",Active,D1D4D8-US-C,0.25
Upper School,ADV 9-1,US Advisory 9-1,"Charme-Zane, Sara",A-6,"9 (M: 3, F: 5, NB: 1)",Active,M-Advsy,0
Upper School,HR 9-1,US Homeroom 9-1,"Charme-Zane, Sara",A-6,"9 (M: 3, F: 5, NB: 1)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,ADV 12-10,US Advisory 12-10,"Rawlings, Maryanne",Hargroves Lobby/Cafe,"9 (M: 5, F: 4)",Active,M-Advsy,0
Upper School,HR 12-10,US Homeroom 12-10,"Rawlings, Maryanne",Hargroves Lobby/Cafe,"9 (M: 5, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,HR 10-7,US Homeroom 10-7,"Pigeon, Colin",Hargroves Lobby/Cafe,"9 (M: 4, F: 5)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,ADV 10-7,US Advisory 10-7,"Pigeon, Colin",Hargroves Lobby/Cafe,"9 (M: 4, F: 5)",Active,M-Advsy,0
Upper School,MOD760-4,Spanish Tutorial-4,"Dudurich, Jedi",Hargroves Lobby/Cafe,1 (M: 1),Active,D2-US-A,0
Upper School,DIS Span Convo,Spanish Conversation (DIS Minor),"Bradburd, Rachel",Hargroves Lobby/Cafe,2 (F: 2),Active,D4-US-F,0.25
Upper School,DIS Documentary Film,DIS Documentary Film,"Kappel, Sarah",Hargroves Lobby/Cafe,1 (M: 1),Active,D8-US-G,0.25
Upper School,CCT Mtg,CCT Mtg,"Stevens, Craig",HC-200,0,Active,D3-US-C,0
Upper School,MTH915-6,Math Tutorial-6,"Saracino, Allie",HC-200,1 (M: 1),Active,D3-US-B,0
Upper School,MTH900-7,Math Center-7,"Saracino, Allie",HC-200,1 (F: 1),Active,D7-US-A,0
Upper School,THT792-1,"Light, Sound, & Production Design","Waldman, Jeffrey",HC-200,"5 (M: 4, F: 1)",Future,D1D4D7-US-F,0.25
Upper School,ADV 9-3,US Advisory 9-3,"DiPasquale, Dan",HC-200,"9 (M: 5, F: 4)",Active,M-Advsy,0
Upper School,HR 9-3,US Homeroom 9-3,"DiPasquale, Dan",HC-200,"9 (M: 5, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,A/W Support AY,A/W Support AY,"Brock, Caroline",HC-200,1 (M: 1),Active,D2D8-US-G,0
Upper School,A/W Support OJ,A/W Support OJ,"Brock, Caroline",HC-200,1 (M: 1),Active,D2D5-US-B,0
Upper School,MTH610-1,Functions & Trigonometry,"DiPasquale, Dan",HC-200,"6 (M: 3, F: 3)",Active,D1D2D4D5D7-US-D,0.5
Upper School,THT751-1,Film Editing & Post-Production,"Waldman, Jeffrey",HC-200,"6 (M: 4, F: 2)",Active,D1D4D7-US-F,0.25
Upper School,Grade Deans Mtg,US Grade Deans Mtg,"Young, Matthew",HC-200,0,Active,,0
Upper School,SEM320-1,Comics Studies,"Waldman, Jeffrey",HC-200,"6 (M: 4, F: 2)",Active,D2D3D5D6D8-US-E,0.25
Upper School,MTH730-3,Integral Calculus-3,"Ramsey, Devra",HC-201,"14 (M: 6, F: 8)",Active,D2D3D5D6D8-US-E,0.5
Upper School,MOD320-3,French II-3,"Bartholomew, Elias",HC-201,"12 (M: 5, F: 7)",Active,D2D4D5D7D8-US-G,0.5
Upper School,MTH720-1,Calculus-1,"Ramsey, Devra",HC-201,"19 (M: 8, F: 11)",Active,D1D2D4D6D7-US-A,0.5
Upper School,MTH720-2,Calculus-2,"Ramsey, Devra",HC-201,"15 (M: 10, F: 5)",Active,D1D2D4D5D7-US-D,0.5
Upper School,MTH730-1,Integral Calculus-1,"Ramsey, Devra",HC-201,"17 (M: 7, F: 10)",Active,D2D3D5D7D8-US-B,0.5
Upper School,MTH730-2,Integral Calculus-2,"Ramsey, Devra",HC-201,"18 (M: 11, F: 7)",Active,D1D3D4D6D7-US-F,0.5
Upper School,MOD320-1,French II-1,"Bartholomew, Elias",HC-201,"15 (M: 7, F: 8)",Active,D1D3D4D6D8-US-C,0.5
Upper School,MOD320-2,French II-2,"Bartholomew, Elias",HC-201,"12 (M: 4, F: 8)",Active,D1D3D5D6D8-US-H,0.5
Upper School,HR 10-9,US Homeroom 10-9,"Ramsey, Devra",HC-201,"9 (M: 5, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,ADV 10-9,US Advisory 10-9,"Ramsey, Devra",HC-201,"9 (M: 5, F: 4)",Active,M-Advsy,0
Upper School,Lang Lab French 2-1,Lang Lab French 2-1,"Bartholomew, Elias",HC-201,"11 (M: 5, F: 6)",Active,D1-US-I,0
Upper School,Lang Lab French 2-2,Lang Lab French 2-2,"Bartholomew, Elias",HC-201,"11 (M: 5, F: 6)",Active,D3-US-I,0
Upper School,Lang Lab French 2-3,Lang Lab French 2-3,"Bartholomew, Elias",HC-201,"16 (M: 5, F: 11)",Active,D7-US-I,0
Upper School,HR 12-9,US Homeroom 12-9,"Quant, Elena",HC-204,"8 (M: 3, F: 5)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,ADV 12-9,US Advisory 12-9,"Quant, Elena",HC-204,"8 (M: 3, F: 5)",Active,M-Advsy,0
Upper School,MTH620-1,Precalculus-1,"Ashcroft, Kayla",HC-204,"19 (M: 10, F: 9)",Active,D1D3D4D6D8-US-C,0.5
Upper School,MTH620-2,Precalculus-2,"Ashcroft, Kayla",HC-204,"13 (M: 6, F: 7)",Active,D1D3D5D6D8-US-H,0.5
Upper School,MTH630-1,Differential Calculus-1,"Ashcroft, Kayla",HC-204,"14 (M: 9, F: 5)",Active,D1D3D4D6D7-US-F,0.5
Upper School,MTH630-2,Differential Calculus-2,"Ashcroft, Kayla",HC-204,"12 (M: 6, F: 6)",Active,D2D4D5D7D8-US-G,0.5
Upper School,MTH630-3,Differential Calculus-3,"Ashcroft, Kayla",HC-204,"17 (M: 10, F: 7)",Active,D1D2D4D6D7-US-A,0.5
Upper School,MTH710-1,Applications in Statistics-1,"Quant, Elena",HC-204,"10 (M: 3, F: 7)",Active,D2D3D5D6D8-US-E,0.5
Upper School,MTH710-2,Applications in Statistics-2,"Quant, Elena",HC-204,"17 (M: 12, F: 5)",Active,D2D3D5D7D8-US-B,0.5
Upper School,MTH810-1,Accelerated Statistics-1,"Quant, Elena",HC-204,"14 (M: 9, F: 5)",Active,D1D2D4D5D7-US-D,0.5
Upper School,MTH915-5,Math Tutorial-5,"Saracino, Allie",HC-205,1 (M: 1),Active,D6-US-H,0
Upper School,DIS Japanese-1,Japanese (DIS Minor)-1,"Komura, Nobuko",HC-205,1 (M: 1),Active,D2D5-US-B,0.25
Upper School,ADV 12-1,US Advisory 12-1,"Ashcroft, Kayla",HC-205,"8 (M: 4, F: 4)",Active,M-Advsy,0
Upper School,HR 12-1,US Homeroom 12-1,"Ashcroft, Kayla",HC-205,"8 (M: 4, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,DIS ASL 2,DIS ASL 2,"Volpe, Marcia",HC-205,2 (F: 2),Active,D1-US-H,0.25
Upper School,DIS ASL 3,DIS ASL 3,"Volpe, Marcia",HC-205,3 (F: 3),Active,D1D7-US-A,0.25
Upper School,Study Lab 9-10,Study Lab 9-10,"Bartholomew, Elias",HC-205,4 (F: 4),Active,D8-US-B,0
Upper School,Study Lab 9-12,Study Lab 9-12,"Gondi, June",HC-205,"7 (M: 5, F: 2)",Active,D4-US-C,0
Upper School,MTH910-1,Math Center 10-1,"Lapowsky, Susan",HC-205,1 (M: 1),Active,D3-US-C,0
Upper School,MTH910-3,Math Center 10-3,"Lapowsky, Susan",HC-205,2 (M: 2),Active,D7-US-F,0
Upper School,MTH900-1,Math Center 9-1,"Ashcroft, Kayla",HC-205,1 (M: 1),Active,D3-US-E,0
Upper School,MTH900-2,Math Center 9-2,"Kim, Chan",HC-205,5 (F: 5),Active,D6-US-F,0
Upper School,MTH900-3,Math Center 9-3,"Ramsey, Devra",HC-205,"3 (M: 1, F: 2)",Active,D3-US-H,0
Upper School,MTH900-4,Math Center 9-4,"Mraz, David",HC-205,1 (F: 1),Active,D5-US-B,0
Upper School,DIS Japanese 3/4,DIS Japanese 3/4,"Komura, Nobuko",HC-205,"2 (M: 1, F: 1)",Active,D2D6-US-A,0.25
Upper School,Arabic II (DIS Minor,Arabic II (DIS Minor),"Ahmed, Mohamed",HC-205,"4 (M: 2, F: 2)",Active,T:11:00 - 11:50,0.25
Upper School,MTH915-7,Math Tutorial-7,"Saracino, Allie",HC-205,1 (F: 1),Active,D4D8-US-I,0
Upper School,MTH910-9,Math Center 10-9,"Saracino, Allie",HC-205,1 (F: 1),Active,D4-US-A,0
Upper School,MTH910-10,Math Center 10-10,"Saracino, Allie",HC-205,1 (F: 1),Active,D8-US-C,0
Upper School,MTH910-8,Math Center 10-8,"Saracino, Allie",HC-205,1 (M: 1),Active,D7-US-B,0
Upper School,MTH900-5,Math Center 9-5,"Saracino, Allie",HC-205,1 (M: 1),Active,D5-US-G,0
Upper School,MTH910-4,Math Center 10-4,"Saracino, Allie",HC-205,1 (F: 1),Active,D4-US-G,0
Upper School,MTH910-5,Math Center 10-5,"Saracino, Allie",HC-205,1 (F: 1),Active,D2D6-US-I,0
Upper School,MTH910-6,Math Center 10-6,"Saracino, Allie",HC-205,1 (F: 1),Active,D3-US-F,0
Upper School,MTH910-7,Math Center 10-7,"Saracino, Allie",HC-205,1 (M: 1),Active,D6-US-C,0
Upper School,DIS Japanese-2,DIS Japanese-2,"Komura, Nobuko",HC-205,1 (F: 1),Active,T:2:15 - 3:30,0.25
Upper School,Math Center 10-2,Math Center 10-2,"Saracino, Allie",HC-205,1 (M: 1),Active,D6-US-E,0
Upper School,Math Center 10-1,Math Center 10-1,"Saracino, Allie",HC-205,2 (F: 2),Active,D1-US-D,0
Upper School,MTH910-2,Math Center 10-2,"Lapowsky, Susan",HC-206,1 (M: 1),Active,D2D5-US-I,0
Upper School,ADV 9-10,US Advisory 9-10,"Ross, Anne",HC-206,"9 (M: 4, F: 5)",Active,M-Advsy,0
Upper School,HR 9-10,US Homeroom 9-10,"Ross, Anne",HC-206,"9 (M: 4, F: 5)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,MTH520-1,Algebra II-1,"DiPasquale, Dan",HC-206,"16 (M: 6, F: 10)",Active,D1D3D4D6D8-US-C,0.5
Upper School,MTH520-2,Algebra II-2,"DiPasquale, Dan",HC-206,"15 (M: 5, F: 10)",Active,D2D4D5D7D8-US-G,0.5
Upper School,MTH520-3,Algebra II-3,"DiPasquale, Dan",HC-206,"15 (M: 10, F: 5)",Active,D2D3D5D6D8-US-E,0.5
Upper School,MTH520-4,Algebra II-4,"Kim, Chan",HC-206,"13 (M: 7, F: 6)",Active,D1D3D5D6D8-US-H,0.5
Upper School,MTH620-3,Precalculus-3,"Quant, Elena",HC-206,"17 (M: 10, F: 7)",Active,D1D3D4D6D7-US-F,0.5
Upper School,MTH420-2,Geometry-2,"Lazorko, Jared",HC-206,"17 (M: 4, F: 13)",Active,D2D3D5D7D8-US-B,0.5
Upper School,MTH420-3,Geometry-3,"Lazorko, Jared",HC-206,"15 (M: 7, F: 7, NB: 1)",Active,D1D2D4D5D7-US-D,0.5
Upper School,MTH420-4,Geometry-4,"Lazorko, Jared",HC-206,"15 (M: 6, F: 8, NB: 1)",Active,D1D2D4D6D7-US-A,0.5
Upper School,ENG410-3,English 10-3,"James, Madeline",L-210,"14 (M: 9, F: 5)",Active,D2D4D5D7D8-US-G,0.5
Upper School,ENG410-4,English 10-4,"James, Madeline",L-210,"12 (M: 6, F: 6)",Active,D2D3D5D6D8-US-E,0.5
Upper School,THT760-1,Filmmaking: The Picture is the Thing: Advanced,"Lee, André",L-210,6 (M: 6),Active,"D2D6-US-A, D6-US-I",0.25
Upper School,THT750-1,Introduction to Filmmaking-1,"Lee, André",L-210,"8 (M: 7, F: 1)",Active,"D1-US-D, D1-US-I, D4-US-D",0.25
Upper School,THT750-2,Introduction to Filmmaking-2,"Lee, André",L-210,"8 (M: 7, F: 1)",Active,"D2D7-US-B, D7-US-I",0.25
Upper School,ENG510-6,English 11-6,"Sullivan, Samuel",L-210,"16 (M: 8, F: 8)",Active,D1D3D5D6D8-US-H,0.5
Upper School,ENG610-5,English 12-5,"Hotek, Adam",L-210,"16 (M: 9, F: 7)",Active,D1D3D4D6D7-US-F,0.5
Upper School,ADV 11-1,US Advisory 11-1,"Guevarez, Alexander",L-210,"8 (M: 4, F: 4)",Active,M-Advsy,0
Upper School,HR 11-1,US Homeroom 11-1,"Guevarez, Alexander",L-210,"8 (M: 4, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,Study Lab 9-5,Study Lab 9-5,"Miller, Jake",L-210,"9 (M: 4, F: 4, NB: 1)",Active,D4-US-A,0
Upper School,HR 11-6,US Homeroom 11-6,"McGeary, Joseph",L-212,"9 (M: 5, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,ADV 11-6,US Advisory 11-6,"McGeary, Joseph",L-212,"9 (M: 5, F: 4)",Active,M-Advsy,0
Upper School,ENG610-4,English 12-4,"Lu, Di",L-212,"13 (M: 7, F: 6)",Active,D1D3D5D6D8-US-H,0.5
Upper School,ENG510-2,English 11-2,"Lu, Di",L-212,"16 (M: 8, F: 8)",Active,D2D4D5D7D8-US-G,0.5
Upper School,ENG510-4,English 11-4,"Lu, Di",L-212,"15 (M: 8, F: 7)",Active,D1D3D4D6D7-US-F,0.5
Upper School,ENG440-1,Magazine Journalism,"Ragas, Meg",L-212,"16 (M: 4, F: 12)",Active,D1D4D8-US-C,0.25
Upper School,ENG610-7,English 12-7,"Lu, Di",L-212,"12 (M: 4, F: 8)",Active,D2D3D5D6D8-US-E,0.5
Upper School,ENG700-1,Poetry Workshop-1,"Sullivan, Samuel",L-212,"11 (M: 6, F: 5)",Active,D3D7D8-US-B,0.25
Upper School,ENG700-2,Poetry Workshop-2,"Sullivan, Samuel",L-212,"10 (M: 4, F: 6)",Active,D2D4D7-US-D,0.25
Upper School,ENG410-5,English 10-5,"McGeary, Joseph",L-214,"16 (M: 11, F: 5)",Active,D1D3D5D6D8-US-H,0.5
Upper School,ENG410-6,English 10-6,"McGeary, Joseph",L-214,"18 (M: 7, F: 11)",Active,D1D3D4D6D7-US-F,0.5
Upper School,ENG310-1,English 9-1,"Miller, Carol",L-214,"17 (M: 9, F: 8)",Active,D1D2D4D5D7-US-D,0.5
Upper School,ENG310-2,English 9-2,"Hotek, Adam",L-214,"17 (M: 12, F: 5)",Active,D2D3D5D7D8-US-B,0.5
Upper School,ENG310-3,English 9-3,"Hotek, Adam",L-214,"15 (M: 4, F: 11)",Active,D1D3D4D6D8-US-C,0.5
Upper School,SEM300-1,Underground Railroad,"McGeary, Joseph",L-214,"8 (M: 6, F: 2)",Active,D1D2D4D6D7-US-A,0.25
